,poster,post_date,comment_person,comment,comment_date,hashtags,type,Sentiment
34,beyonce,2022-7-29,RT4 ,classic album sure best,2022-7-29,[],post-release,Positive
35,beyonce,2022-7-29,Laya ,hi beyonc,2022-7-29,[],post-release,Neutral
36,beyonce,2022-7-29,Daniel Lykke Holm ,album saved summer,2022-7-29,[],post-release,Positive
37,beyonce,2022-7-29,Austun Reid ,early beyonc tiktok,2022-7-29,[],post-release,Neutral
38,beyonce,2022-7-29,bran ,pure honey best thing ever heard,2022-7-29,[],post-release,Positive
39,beyonce,2022-7-29,Teyana Taylor 🐞 ,love album,2022-7-29,[],post-release,Positive
40,beyonce,2022-7-29,Thee Muses ,understand already listened five times full least,2022-7-30,[],post-release,Neutral
41,beyonce,2022-7-29,𝓓𝓪𝓷𝓪𝔂𝓮́ 👼🏽 ,whole album straight fire shook idc nobody say love,2022-7-29,[],post-release,Positive
42,beyonce,2022-7-29,Thickleeyonce ,yes please,2022-7-29,[],post-release,Positive
43,beyonce,2022-7-29,𝙇𝙀𝙊® ,lying blocking get flop era,2022-8-1,[],post-release,Negative
44,beyonce,2022-7-29,Gab ,top songs album alien superstar cuff church girl,2022-7-29,[],post-release,Positive
45,beyonce,2022-7-29,isaac ,ready,2022-7-29,[],post-release,Positive
46,beyonce,2022-7-29,Meme Monroe ,acts right albums dropping,2022-7-29,[],post-release,Neutral
47,beyonce,2022-7-29,Yoncé’s Wife💞💍 ,cannot breathe bey,2022-7-29,[],post-release,Neutral
48,beyonce,2022-7-29,Kenyana Keke Houston ,best birthday gift ever,2022-7-29,[],post-release,Positive
49,beyonce,2022-7-29,Matona Ngidi ,let us talk pure honey,2022-7-31,[],post-release,Neutral
50,beyonce,2022-7-29,Cameron Goode ,queen,2022-7-29,[],post-release,Neutral
51,beyonce,2022-7-29,Izzy Tha God ,album year,2022-7-29,[],post-release,Neutral
52,beyonce,2022-7-29,nia ,cannot stop watching,2022-7-29,[],post-release,Positive
53,beyonce,2022-7-29,jaz ,listened songs omg thank,2022-7-29,[],post-release,Positive
54,beyonce,2022-7-29,Shera ,entire album serious vibe seamless beautiful,2022-7-29,[],post-release,Positive
55,beyonce,2022-7-29,TerryKaye ,cmon,2022-7-29,[],post-release,Neutral
56,beyonce,2022-7-29,Kai | Natural Hair + Beauty ,much good nights rest,2022-7-29,[],post-release,Positive
57,beyonce,2022-7-29,Mason Blake ,mother,2022-8-3,[],post-release,Neutral
58,beyonce,2022-7-29,s12h11 ,ohh waited long heard album honest wanted soul r b like sasha fierce album hm happened,2022-7-29,[],post-release,Positive
59,beyonce,2022-7-29,YonceSupport ,mother,2022-7-29,[],post-release,Neutral
60,beyonce,2022-7-29,Louise Epa-Rolfe ,pure honey,2022-7-29,[],post-release,Neutral
61,beyonce,2022-7-29,Jamesia Manning ,heard album,2022-7-29,[],post-release,Neutral
62,beyonce,2022-7-29,✨AJ✨ ,orbit,2022-7-29,[],post-release,Neutral
63,beyonce,2022-7-29,Griot JBHarris ,yas,2022-7-29,[],post-release,Neutral
64,beyonce,2022-7-29,Ashley Dalton ,queen,2022-7-29,[],post-release,Neutral
65,beyonce,2022-7-29,Sebastian Urdiales ,queen back,2022-7-29,[],post-release,Neutral
66,beyonce,2022-7-29,Retard ,listening album right,2022-7-29,[],post-release,Neutral
67,beyonce,2022-7-29,Just Huge ,interesting,2022-7-29,[],post-release,Positive
68,beyonce,2022-7-29,Crystal ,mother mother album baybe whew,2022-7-29,[],post-release,Neutral
69,beyonce,2022-7-29,beyonce ,queen industry,2022-7-29,[],post-release,Neutral
70,beyonce,2022-7-29,Sukhraj Bassi ,took friday knew going hyped,2022-7-29,[],post-release,Neutral
71,beyonce,2022-7-29,naie ♡ ,visuals eating,2022-7-30,[],post-release,Neutral
72,beyonce,2022-7-29,HollywoodGenGen ,yas,2022-7-29,[],post-release,Neutral
73,beyonce,2022-7-29,Hayden Delishaas ,early lets go,2022-7-29,[],post-release,Neutral
74,beyonce,2022-7-29,Crystal in the laboratory ,loved definitely skips album,2022-7-29,[],post-release,Positive
75,beyonce,2022-7-29,sebas ,mother arrived,2022-7-29,[],post-release,Neutral
76,beyonce,2022-7-29,Nicki Minaj ,album fire queenn,2022-7-29,[],post-release,Negative
77,beyonce,2022-7-29,Mike ,church girl wow,2022-7-29,[],post-release,Positive
78,beyonce,2022-7-29,Shenee ,like incredible awe crying shaking losing,2022-7-29,[],post-release,Negative
79,beyonce,2022-7-29,B. Lee ☀️ ,taking,2022-7-29,[],post-release,Neutral
80,beyonce,2022-7-29,Keith Donald ,album,2022-7-29,[],post-release,Neutral
81,beyonce,2022-7-29,Elyssia Mariè ,queen b,2022-7-29,[],post-release,Neutral
82,beyonce,2022-7-29,ADHD while Black ,please gasping,2022-7-29,[],post-release,Positive
83,beyonce,2022-7-29,Eric. ,sleeping tonight,2022-7-29,[],post-release,Neutral
84,beyonce,2022-7-29,salamandra ,first,2022-7-29,[],post-release,Neutral
85,beyonce,2022-7-29,Brandi Smith ,ok queen,2022-7-29,[],post-release,Positive
86,beyonce,2022-7-29,Luminous Rah ,look hear music knew ready,2022-7-29,[],post-release,Positive
87,beyonce,2022-7-29,h3rizonmusic ,,2022-8-7,[],post-release,Neutral
88,beyonce,2022-7-29,𝙗𝙤𝙣𝙣𝙞𝙚𝙮𝙤𝙣𝙘𝙚 ,cannot breathe,2022-7-29,[],post-release,Neutral
89,beyonce,2022-7-29,Kiara ,queen mother live breathe,2022-7-29,[],post-release,Neutral
90,beyonce,2022-7-29,STALLI. ,real active lately,2022-7-29,[],post-release,Positive
91,beyonce,2022-7-29,Blippi ,else listened whole thing one sitting,2022-7-29,[],post-release,Neutral
92,beyonce,2022-7-29,Ivyonbeat._ ,omg,2022-7-29,[],post-release,Neutral
93,beyonce,2022-7-29,JRSaxophonic ,werk madam get,2022-7-29,[],post-release,Neutral
94,beyonce,2022-7-29,𝐷𝑎𝑣𝑖𝑑🤍😍 ,listened da album nd worth,2022-7-29,[],post-release,Positive
95,beyonce,2022-7-29,. ,hey still also,2022-7-29,[],post-release,Neutral
96,beyonce,2022-7-29,Veam Razaleigh ,sleeping,2022-7-29,[],post-release,Neutral
97,beyonce,2022-7-29,✨AJ✨ ,get freaking right,2022-7-29,[],post-release,Negative
98,beyonce,2022-7-29,beyoncé ,queen,2022-8-7,[],post-release,Neutral
99,beyonce,2022-7-29,Widowed Mama ,likes know way early,2022-7-29,[],post-release,Positive
100,beyonce,2022-7-29,editzbylyric ,woah mad early,2022-7-29,[],post-release,Negative
101,beyonce,2022-7-29,Elle Bee ,yes,2022-8-12,[],post-release,Positive
102,beyonce,2022-7-29,Prince_Desmonddd ,one else world thinks like us minds wired different headquarters shipped away lmao,2022-8-21,[],post-release,Positive
103,beyonce,2022-7-29,theonakaelang ,going sell kidney album,2022-11-21,[],post-release,Neutral
104,beyonce,2022-7-29,Flower. _.wrrks ,heated everything,3d ago ,[],post-release,Neutral
105,beyonce,2022-7-29,Doctor Neket ,beyonce,3d ago ,[],post-release,Neutral
106,beyonce,2022-7-29,The 🔌 ,know r gave sasha fierce experience n way around channel match frequency,5d ago ,[],post-release,Neutral
107,beyonce,2022-7-29,Fabie_971 ,best ever,1w ago ,[],post-release,Positive
108,beyonce,2022-7-29,Gogos Corner ,woman everything,6-8,[],post-release,Neutral
109,beyonce,2022-7-29,Littlefinger apologist ,year,6-3,[],post-release,Neutral
110,beyonce,2022-7-29,user548001151017 ,follow back,6-2,[],post-release,Neutral
111,beyonce,2022-7-29,somerica ,queen,5-31,[],post-release,Neutral
112,beyonce,2022-7-29,FailForRealz ,gen z care beyonc obv got message posted couple videos abandoned account,5-30,[],post-release,Positive
113,beyonce,2022-7-29,Honyeh ,selling tickets london concert anyones interested,5-29,[],post-release,Positive
114,beyonce,2022-7-29,T. marguerite ,beyonce diva,5-28,[],post-release,Neutral
115,beyonce,2022-7-29,💜𝙈𝙤𝙣𝙞𝙘𝙖💜♍️ ,h town fabolous,5-28,[],post-release,Neutral
116,beyonce,2022-7-29,Trong Kien ,girl years visuals please,5-27,[],post-release,Positive
117,beyonce,2022-7-29,CLASSIC KETOGENIC DIET 101 ,,5-27,[],post-release,Neutral
118,beyonce,2022-7-29,quardiasmith ,people girl talented versitle mass prep well know worthy said like amany well yel however playing,5-26,[],post-release,Positive
119,beyonce,2022-7-29,RonelMiller NL ,nice,5-21,[],post-release,Positive
120,beyonce,2022-7-29,FeetZ ,shoes,5-18,[],post-release,Neutral
121,beyonce,2022-7-29,camcam04💜 ,tomorrow day beyhive bout lit ready,5-9,[],post-release,Positive
122,beyonce,2022-7-29,user24755331864 ,hello beyonce want collaborate new songs,5-7,[],post-release,Positive
123,beyonce,2022-7-29,art ,turn god sweet,5-5,[],post-release,Positive
124,beyonce,2022-7-29,♒️ ,renaissance yet begun,5-2,[],post-release,Neutral
125,beyonce,2022-7-29,Miasalleh0 ,way,5-1,[],post-release,Neutral
126,beyonce,2022-7-29,Thalya Oliveira ,,4-27,[],post-release,Neutral
127,beyonce,2022-7-29,𝒯𝑜𝒹𝒶𝒽💟 ,beyonc,4-26,[],post-release,Neutral
128,beyonce,2022-7-29,tall don ,instrument damn,4-25,[],post-release,Negative
129,beyonce,2022-7-29,SVT Supremacy ,still waiting visuals mind,4-21,[],post-release,Neutral
130,beyonce,2022-7-29,Inuyasha ,,4-18,[],post-release,Neutral
131,beyonce,2022-7-29,!! ,funny wit honey,4-18,[],post-release,Positive
132,beyonce,2022-7-29,Mrs. Mensah ♌️ ,,4-17,[],post-release,Neutral
133,beyonce,2022-7-29,Houstonian ,born stallion real talent,4-10,[],post-release,Positive
134,beyonce,2022-7-29,Neekitha ,dates africa pls nigeria lagos abuja fine pls drop dates,3-30,[],post-release,Positive
135,beyonce,2022-7-29,Icee Jallow ,mj thrilling grave,3-30,[],post-release,Positive
136,beyonce,2022-7-29,handa_EXO ,beyonce see collaborating exo end year english language song dance exo,3-24,[],post-release,Neutral
137,beyonce,2022-7-29,ilovecatssomuchalia ,beyonce please answer comment,3-19,[],post-release,Positive
138,beyonce,2022-7-29,devin🪩 ,ready omg,3-9,[],post-release,Positive
139,beyonce,2022-7-29,noah ,lilybet wqs iconic,3-1,[],post-release,Neutral
140,beyonce,2022-7-29,Boo ,watch yung pryce song anchor,2-27,[],post-release,Neutral
141,beyonce,2022-7-29,Miasalleh0 ,love songs girl,2-26,[],post-release,Positive
142,beyonce,2022-7-29,badd ,gorgeous,2-24,[],post-release,Positive
143,beyonce,2022-7-29,BLUE BARBARA ,,2-21,[],post-release,Neutral
144,beyonce,2022-7-29,róisín (taylor's version) ,album everything,2-18,[],post-release,Neutral
145,beyonce,2022-7-29,R ,deal woman nothing special heard better music seen prettier women,2-18,[],post-release,Negative
146,beyonce,2022-7-29,jj ,beyonce sean carter epstein island,2-15,[],post-release,Neutral
147,beyonce,2022-7-29,the blond king ,hello coming see belgium france relationship joshua would like make marriage,2-15,[],post-release,Positive
148,beyonce,2022-7-29,teetee ,jesus loves,2-11,[],post-release,Positive
149,beyonce,2022-7-29,Inuyasha ,love music queen bey,2-11,[],post-release,Positive
150,beyonce,2022-7-29,grownwoman👑 ,yes,2-10,[],post-release,Positive
151,beyonce,2022-7-29,Nonny ,,2-10,[],post-release,Neutral
152,beyonce,2022-7-29,Wilcar Vasconcellos ,power,2-8,[],post-release,Neutral
153,beyonce,2022-7-29,nia! ,playing wit,2-8,[],post-release,Positive
154,beyonce,2022-7-29,jc Calisseee ,boy ever mentions name clique urgent spend hours ever esponsible saturns gate want see,2-8,[],post-release,Positive
155,beyonce,2022-7-29,Greta ,queen blessing us,2-7,[],post-release,Positive
156,beyonce,2022-7-29,NOVELLA ,congratulations,2-6,[],post-release,Positive
157,beyonce,2022-7-29,Keita abdoul🇨🇮🦅🇫🇷❤️🇫🇷 ,please one fan please get touch want speak please god sake,2-6,[],post-release,Positive
158,beyonce,2022-7-29,Jonas Everlasting ,pretty,2-4,[],post-release,Positive
159,beyonce,2022-7-29,Юрий Бугаев🔥YURIY BUGAYOV🔥 ,beautiful,2-1,[],post-release,Positive
160,beyonce,2022-7-29,Mya ,beyonce queen,1-29,[],post-release,Neutral
161,beyonce,2022-7-29,🩷preppy!!🩷 ,mom obsessed church girl heated play everyday,1-25,[],post-release,Positive
162,beyonce,2022-7-29,Queen_Shalyn_22😜❤️‍🔥💍 ,yes beyonce,1-24,[],post-release,Positive
163,beyonce,2022-7-29,bana ,queen beyonce,1-24,[],post-release,Neutral
164,beyonce,2022-7-29,ezznällaaaaa ,beyonc,1-22,[],post-release,Neutral
165,beyonce,2022-7-29,Apple User372724300 ,sorry hear well enjoying day hope well dad life great friend,1-22,[],post-release,Positive
166,beyonce,2022-7-29,vigan makolli ,,1-21,[],post-release,Neutral
167,beyonce,2022-7-29,GODBLESSYOUU†❤️ ,jesus loves,1-16,[],post-release,Positive
168,beyonce,2022-7-29,meganschild ,loved,1-15,[],post-release,Positive
169,beyonce,2022-7-29,.. ,know truth,1-9,[],post-release,Positive
170,beyonce,2022-7-29,Janet ,queen,1-5,[],post-release,Neutral
171,beyonce,2022-7-29,Erza ,church girl wow,1-2,[],post-release,Positive
172,beyonce,2022-7-29,Erza ,sleeping tn,1-2,[],post-release,Neutral
173,beyonce,2022-7-29,Erza ,literally entire day marked calendar,1-2,[],post-release,Neutral
174,beyonce,2022-7-29,Erza ,yes please,1-2,[],post-release,Positive
175,beyonce,2022-7-29,Erza ,hive sleeping tonight,1-2,[],post-release,Neutral
176,beyonce,2022-7-29,Kimberly King ,love cd grown beyonc love every minute love kim,2022-12-31,[],post-release,Positive
177,beyonce,2022-7-29,FRENJI ,beautiful,2022-12-25,[],post-release,Positive
178,beyonce,2022-7-29,Kukie ,hello virgo sister pray nothing happen go days dry fasting okay beyonce,2022-12-20,[],post-release,Positive
179,beyonce,2022-7-29,T. marguerite ,,2022-12-18,[],post-release,Neutral
180,beyonce,2022-7-29,leahcimyerorellab ,,2022-12-17,[],post-release,Neutral
181,beyonce,2022-7-29,♒️ ,mean,2022-12-15,[],post-release,Neutral
182,beyonce,2022-7-29,Ariana fan 309 ,queen,2022-12-14,[],post-release,Neutral
183,beyonce,2022-7-29,Queen of Atlanta ,greetings globe,2022-12-8,[],post-release,Positive
184,beyonce,2022-7-29,tommy ,go make another deal dev,2022-11-30,[],post-release,Neutral
185,beyonce,2022-7-29,Jas Carter ,beautiful b,2022-11-25,[],post-release,Positive
186,beyonce,2022-7-29,heheheh ,love beyonce virgos,2022-11-24,[],post-release,Positive
187,beyonce,2022-7-29,carrotcake ,favorite,2022-11-24,[],post-release,Positive
188,beyonce,2022-7-29,michaelreycabal13 ,queen,2022-11-20,[],post-release,Neutral
189,beyonce,2022-7-29,michaelreycabal13 ,,2022-11-20,[],post-release,Neutral
190,beyonce,2022-7-29,michaelreycabal13 ,,2022-11-20,[],post-release,Neutral
191,beyonce,2022-7-29,Kea Kea Mo ,,2022-11-16,[],post-release,Neutral
192,beyonce,2022-7-29,Eunicetomindyourbusiness ,nice also us laughs,2022-11-12,[],post-release,Positive
193,beyonce,2022-7-29,Melody Shame ,slay,2022-11-9,[],post-release,Neutral
194,beyonce,2022-7-29,KYNG ,amazing,2022-11-7,[],post-release,Positive
195,beyonce,2022-7-29,airon ,,2022-11-6,[],post-release,Neutral
196,beyonce,2022-7-29,krazefag ,,2022-11-6,[],post-release,Neutral
197,beyonce,2022-7-29,🩷✨𝙺𝚢𝚛𝚒𝚒✨🩵 ,love song,2022-11-6,[],post-release,Positive
198,beyonce,2022-7-29,Algonquin and Ojibway woman ,plenty likes believe making rich richer,2022-11-4,[],post-release,Positive
199,beyonce,2022-7-29,iviwe🩷 ,madam november,2022-11-1,[],post-release,Neutral
200,beyonce,2022-7-29,Natty_real👑🤍 ,,2022-11-1,[],post-release,Neutral
201,beyonce,2022-7-29,golden Esther ,,2022-10-31,[],post-release,Neutral
202,beyonce,2022-7-29,Mike Thabiso Mokwena ,please release visuals,2022-10-27,[],post-release,Positive
203,beyonce,2022-7-29,arianorvera ,queen bey,2022-10-27,[],post-release,Neutral
204,beyonce,2022-7-29,michaelreycabal60 ,,2022-10-27,[],post-release,Neutral
205,beyonce,2022-7-29,lavender9623 ,,2022-10-27,[],post-release,Neutral
206,beyonce,2022-7-29,jasmineashikiro ,queen,2022-10-27,[],post-release,Neutral
207,beyonce,2022-7-29,jasmineashikiro ,,2022-10-27,[],post-release,Neutral
208,beyonce,2022-7-29,Austin Runnels ,filmed,2022-10-27,[],post-release,Neutral
209,beyonce,2022-7-29,kimpitts227 ,love,2022-10-26,[],post-release,Positive
210,beyonce,2022-7-29,kinita ,wow,2022-10-26,[],post-release,Positive
211,beyonce,2022-7-29,music is the answer ,fantastic,2022-10-22,[],post-release,Positive
212,beyonce,2022-7-29,Norma ,sensational,2022-10-22,[],post-release,Neutral
213,beyonce,2022-7-29,porsha ♡ ,amazing,2022-10-18,[],post-release,Positive
214,beyonce,2022-7-29,Ricky ,almost months literally point posting,2022-10-18,[],post-release,Neutral
215,beyonce,2022-7-29,Markandré ,best song album,2022-10-18,[],post-release,Positive
216,beyonce,2022-7-29,Noam ,,2022-10-17,[],post-release,Neutral
217,beyonce,2022-7-29,ANN ❤️ ,,2022-10-15,[],post-release,Neutral
218,beyonce,2022-7-29,user5281692707350 ,period,2022-10-15,[],post-release,Neutral
219,beyonce,2022-7-29,WISH SABAHAN STYLE 🇲🇾 ,wow,2022-10-15,[],post-release,Positive
220,beyonce,2022-7-29,user6575848692726 ,fabulous queen,2022-10-15,[],post-release,Positive
221,beyonce,2022-7-29,arianorvera ,,2022-10-13,[],post-release,Neutral
222,beyonce,2022-7-29,user6176819577298 ,everything kidding,2022-10-11,[],post-release,Positive
223,beyonce,2022-7-29,Habibi ,,2022-10-10,[],post-release,Neutral
224,beyonce,2022-7-29,Simona👩🏻 ,queenn,2022-10-10,[],post-release,Neutral
225,beyonce,2022-7-29,Christina M Burley ,baddie,2022-10-10,[],post-release,Neutral
226,beyonce,2022-7-29,aldo ☆ﾟ.* ,release,2022-10-10,[],post-release,Neutral
227,beyonce,2022-7-29,princess diana ,pick kim k day hey quen,2022-10-10,[],post-release,Neutral
228,beyonce,2022-7-29,I am ,,2022-10-9,[],post-release,Neutral
229,beyonce,2022-7-29,anitaitsme26 ,pretty lady amazing,2022-10-7,[],post-release,Positive
230,beyonce,2022-7-29,M☆KA ,aye,2022-10-7,[],post-release,Neutral
231,beyonce,2022-7-29,Like…..? ,last song called,2022-10-7,[],post-release,Neutral
232,beyonce,2022-7-29,userzy070938h7 ,devoured album queen,2022-10-7,[],post-release,Neutral
233,beyonce,2022-7-29,JermaineGee ,,2022-10-6,[],post-release,Neutral
234,beyonce,2022-7-29,namik.bv ,wow,2022-10-5,[],post-release,Positive
235,beyonce,2022-7-29,celestial hours ,months visuals madam,2022-10-2,[],post-release,Neutral
236,beyonce,2022-7-29,Ana✨ ,queen,2022-10-2,[],post-release,Neutral
237,beyonce,2022-7-29,KingBee👑🐝 ,love bee,2022-10-2,[],post-release,Positive
238,beyonce,2022-7-29,IAMCINNAMON ,perseverance,2022-10-2,[],post-release,Neutral
239,beyonce,2022-7-29,Shauna Plentybears ,jacket beyonc halloween,2022-10-1,[],post-release,Neutral
240,beyonce,2022-7-29,scropicgirl ,beyonce love songs,2022-10-1,[],post-release,Positive
241,beyonce,2022-7-29,kimpitts227 ,love,2022-9-30,[],post-release,Positive
242,beyonce,2022-7-29,MikeyyyyyBtyyyy ,goddess,2022-9-30,[],post-release,Neutral
243,beyonce,2022-7-29,user3868736613513 ,know olivia cheated madi davina,2022-9-30,[],post-release,Negative
244,beyonce,2022-7-29,Selim Eşol ,beyonce poem like sun never goes angel never dies like talismanic candy sweet,2022-9-29,[],post-release,Positive
245,beyonce,2022-7-29,LA ,love queen b,2022-9-29,[],post-release,Positive
246,beyonce,2022-7-29,Joe ,queen,2022-9-29,[],post-release,Neutral
247,beyonce,2022-7-29,Susan_Albert ,amazing,2022-9-28,[],post-release,Positive
248,beyonce,2022-7-29,Selim Eşol ,sun stars go beyonce,2022-9-28,[],post-release,Neutral
249,beyonce,2022-7-29,Roseland Cabral ,queen,2022-9-28,[],post-release,Neutral
250,beyonce,2022-7-29,@charli__x__charli ,yes queen,2022-9-26,[],post-release,Positive
251,beyonce,2022-7-29,TraceyTay ,renaissance even mean,2022-9-25,[],post-release,Neutral
252,beyonce,2022-7-29,lemzykay ,cannot wait music videos performances,2022-9-25,[],post-release,Neutral
253,beyonce,2022-7-29,Layla 🦋🇲🇦🇩🇪 ,,2022-9-23,[],post-release,Neutral
254,beyonce,2022-7-29,JannyJayz✅ ,life,2022-9-17,[],post-release,Neutral
255,beyonce,2022-7-29,sarah ,,2022-9-16,[],post-release,Neutral
256,beyonce,2022-7-29,João Pedro ,girl visuals want,2022-9-16,[],post-release,Positive
257,beyonce,2022-7-29,OFF  LINE🥺💔 ,plz promote,2022-9-12,[],post-release,Positive
258,beyonce,2022-7-29,OFF  LINE🥺💔 ,plz promote,2022-9-12,[],post-release,Positive
259,beyonce,2022-7-29,priaslebew ,slay queen b,2022-9-11,[],post-release,Neutral
260,beyonce,2022-7-29,🔮MANDY AKA LUCA RED ,yes,2022-9-11,[],post-release,Positive
261,beyonce,2022-7-29,kulfi224 ,cool,2022-9-8,[],post-release,Positive
262,beyonce,2022-7-29,Mrs_Honey75 ,happy birthday,2022-9-5,[],post-release,Positive
263,beyonce,2022-7-29,Joyce🥰🥰 ,hi,2022-9-4,[],post-release,Neutral
264,beyonce,2022-7-29,michaelreycabal60 ,queen bey,2022-9-3,[],post-release,Neutral
265,beyonce,2022-7-29,aprilchandler301 ,omg album everything,2022-8-21,[],post-release,Neutral
266,beyonce,2022-7-29,olsan 🐝 ,avisa que vai ter visual sim mas quando voc quiser amm,2022-7-29,[],post-release,Neutral
267,beyonce,2022-7-29,beyoncé🐝 ,lbum est perfeito,2022-7-29,[],post-release,Neutral
268,beyonce,2022-7-29,isiqueen_ ,dejaste ni la galaxia,2022-7-29,[],post-release,Neutral
269,beyonce,2022-7-29,Zazá ,beyonce obrigada por tudo mami,2022-8-11,[],post-release,Neutral
270,beyonce,2022-7-29,everson ,gente sei pra vocs mas pra mim beyonce mais perspicaz que os outros maior,2022-8-9,[],post-release,Neutral
271,beyonce,2022-7-29,🕷 ,eu ainda estou sem acreditar,2022-7-29,[],post-release,Neutral
272,beyonce,2022-7-29,anguesomo120 ,si algn da podr recibir un saludo de beyonce,2022-8-18,[],post-release,Neutral
273,beyonce,2022-7-29,Tanya ,j jamais cru dire mais je suis dyou de l de bey j mme pas pu tout cout,2022-7-29,[],post-release,Negative
274,beyonce,2022-7-29,Marian ,vamos b dame los visuales,2022-7-29,[],post-release,Neutral
275,beyonce,2022-7-29,La maison de poupée cosmetics ,la lgende de lunivers tout entier,2022-7-29,[],post-release,Negative
276,beyonce,2022-7-29,Erick Angel ,una artista indiscutiblemente asombrosa,2022-7-29,[],post-release,Neutral
277,beyonce,2022-7-29,Diren🧸 ,je tremble carrment wsh beyonce best singer alive,2022-7-29,[],post-release,Positive
278,beyonce,2022-7-29,Alexia Appolline g ,cual es tu sonido favorito de beyonce,2022-8-21,[],post-release,Neutral
279,beyonce,2022-7-29,Lyan 🌞 Fréquence haute ,jai commenc couter jai pas pu marrter mon corps boug tout seul la vibe est trop bonne,2022-7-29,[],post-release,Negative
280,beyonce,2022-7-29,sasa ,voc sempre sera artista,2022-7-29,[],post-release,Neutral
281,beyonce,2022-7-29,Clara Rosal ,como que msm dps de j ter feito tudo vc ainda consegue fazer algo totalme diferente,2022-7-29,[],post-release,Neutral
282,beyonce,2022-7-29,Beyoncé ,el nuevo lbum tendra que estar considerado como una de las maravillas del mundo,2022-7-29,[],post-release,Neutral
283,beyonce,2022-7-29,Tina🫦 ,ph ca trc nhn sao,2022-8-1,[],post-release,Neutral
284,beyonce,2022-7-29,Johnata ,mulher libera logo,2022-7-29,[],post-release,Neutral
285,beyonce,2022-7-29,devlin ,jai un pote qui os dire quelle tait plus dactualit,2022-8-23,[],post-release,Negative
286,beyonce,2022-7-29,Orlando Nascimento ,muito renascida,2022-7-29,[],post-release,Neutral
